id  names	rates	values
1	maven dependency	Questions	1.69527442254715
2	RSA Encryption	Questions	4.30175884721339
3	authentation	Questions	5.66857385039203
4	OS	Questions	4.41830896376351
5	JavaScript and jQuery 	Questions	2.56410256410256
6	Spring Security	Questions	0.932400932400932
7	SSL	Questions	1.04895104895105
8	jnlp	Questions	2.39457512184785
9	Cipher suite	Questions	0.529773257045984
10	applet application 	Questions	18.605636787455
11	spring authentation	Questions	23.9775376139013
12	Servlets and JSP	Questions	4.24878152150879
13	Secure Password 	Questions	7.22610722610723
14	java.awt.event	Questions	1.03835558381013
15	signature	Questions	2.40517058698877
16	spring security  and database	Questions	3.47531256622166
17	ssl keystore	Questions	3.75079465988557
18	microsoft metadata	Questions	0.307268489086671
19	public private classes	Questions	5.14939605848697
20	proxy	Questions	1.19728756092392
21	SOAP	Questions	1.96016105107014
22	Apache server	Questions	1.14431023521933
23	finalmap initialmap	Questions	0.381436745073109
24	Jboss add mysql	Questions	1.57872430599703
25	maven dependency	Answers	84.375
26	RSA Encryption	Answers	93.8423645320197
27	authentation	Answers	82.803738317757
28	OS	Answers	83.4532374100719
29	JavaScript and jQuery 	Answers	89.6694214876033
30	Spring Security	Answers	89.7727272727273
31	SSL	Answers	86.8686868686869
32	jnlp	Answers	73.8938053097345
33	Cipher suite	Answers	82
34	applet application 	Answers	87.4715261958998
35	spring authentation	Answers	88.7759611135661
36	Servlets and JSP	Answers	86.5336658354115
37	Secure Password 	Answers	94.574780058651
38	java.awt.event	Answers	81.6326530612245
39	signature	Answers	84.5814977973568
40	spring security  and database	Answers	83.2317073170732
41	ssl keystore	Answers	87.2881355932203
42	microsoft metadata	Answers	68.9655172413793
43	public private classes	Answers	95.0617283950617
44	proxy	Answers	83.1858407079646
45	SOAP	Answers	76.7567567567568
46	Apache server	Answers	79.6296296296296
47	finalmap initialmap	Answers	77.7777777777778
48	Jboss add mysql	Answers	87.9194630872483
49	maven dependency	Replied	84.375
50	RSA Encryption	Replied	93.8423645320197
51	authentation	Replied	82.803738317757
52	OS	Replied	83.4532374100719
53	JavaScript and jQuery 	Replied	89.6694214876033
54	Spring Security	Replied	89.7727272727273
55	SSL	Replied	86.8686868686869
56	jnlp	Replied	73.8938053097345
57	Cipher suite	Replied	82
58	applet application 	Replied	87.4715261958998
59	spring authentation	Replied	88.7759611135661
60	Servlets and JSP	Replied	86.5336658354115
61	Secure Password 	Replied	94.574780058651
62	java.awt.event	Replied	81.6326530612245
63	signature	Replied	84.5814977973568
64	spring security  and database	Replied	83.2317073170732
65	ssl keystore	Replied	87.2881355932203
66	microsoft metadata	Replied	68.9655172413793
67	public private classes	Replied	95.0617283950617
68	proxy	Replied	83.1858407079646
69	SOAP	Replied	76.7567567567568
70	Apache server	Replied	79.6296296296296
71	finalmap initialmap	Replied	77.7777777777778
72	Jboss add mysql	Replied	87.9194630872483
73	maven dependency	Accepted	40.625
74	RSA Encryption	Accepted	55.6650246305419
75	authentation	Accepted	47.2897196261682
76	OS	Accepted	52.757793764988
77	JavaScript and jQuery 	Accepted	54.5454545454545
78	Spring Security	Accepted	54.5454545454545
79	SSL	Accepted	41.4141414141414
80	jnlp	Accepted	44.6902654867257
81	Cipher suite	Accepted	46
82	applet application 	Accepted	53.3599088838269
83	spring authentation	Accepted	51.7012814847548
84	Servlets and JSP	Accepted	49.3765586034913
85	Secure Password 	Accepted	58.3577712609971
86	java.awt.event	Accepted	30.6122448979592
87	signature	Accepted	50.6607929515419
88	spring security  and database	Accepted	44.2073170731707
89	ssl keystore	Accepted	51.1299435028249
90	microsoft metadata	Accepted	44.8275862068966
91	public private classes	Accepted	70.5761316872428
92	proxy	Accepted	38.0530973451327
93	SOAP	Accepted	49.7297297297297
94	Apache server	Accepted	43.5185185185185
95	finalmap initialmap	Accepted	50
96	Jboss add mysql	Accepted	48.3221476510067
97	maven dependency	Unanswered	41.875
