Source	Target	Weight
finalmap initialmap	apacheds	1
finalmap initialmap	android-wifi	1
finalmap initialmap	nosql	1
finalmap initialmap	smartcard	2
finalmap initialmap	spring	2
finalmap initialmap	zookeeper	1
finalmap initialmap	rest	1
finalmap initialmap	web-services	2
finalmap initialmap	public-key-encryption	1
finalmap initialmap	exploit	1
finalmap initialmap	api	1
finalmap initialmap	unicode	1
finalmap initialmap	neo4j	1
finalmap initialmap	internationalization	1
finalmap initialmap	pcsc	1
finalmap initialmap	google-talk	1
finalmap initialmap	digest	1
finalmap initialmap	jpa	1
finalmap initialmap	amazon-ec2	1
finalmap initialmap	java	25
finalmap initialmap	certificate	1
finalmap initialmap	aws-sdk	1
finalmap initialmap	servlets	1
finalmap initialmap	excel	1
finalmap initialmap	amazon-s3	1
finalmap initialmap	xmpp	2
finalmap initialmap	authentication	1
finalmap initialmap	weblogic	1
finalmap initialmap	wcf	1
finalmap initialmap	solr5	1
finalmap initialmap	spring-mvc	1
finalmap initialmap	applet	1
finalmap initialmap	spring-security	2
finalmap initialmap	flex	1
finalmap initialmap	jmx	1
finalmap initialmap	hibernate	1
finalmap initialmap	cryptography	1
finalmap initialmap	playframework	1
finalmap initialmap	websphere	1
finalmap initialmap	amazon-web-services	1
finalmap initialmap	kerberos	1
finalmap initialmap	ssl	1
finalmap initialmap	smack	2
finalmap initialmap	apache-poi	1
finalmap initialmap	sql	1
finalmap initialmap	java-ee	1
finalmap initialmap	db2	2
finalmap initialmap	solr	1
finalmap initialmap	android	3
finalmap initialmap	ejb-2.x	1
finalmap initialmap	service	1
finalmap initialmap	tomcat	1
finalmap initialmap	itext	1
finalmap initialmap	database	2
finalmap initialmap	spring-jdbc	1
finalmap initialmap	weblogic8.x	1
finalmap initialmap	c++	1
finalmap initialmap	javacard	2
finalmap initialmap	wifimanager	1
finalmap initialmap	azure	1
finalmap initialmap	pdf	1
finalmap initialmap	security	5
finalmap initialmap	blpapi	1
SSL	digital-certificate	1
SSL	java-web-start	1
SSL	rest	1
SSL	x509certificate	1
SSL	mysql	1
SSL	jsse	1
SSL	web	1
SSL	serial-port	1
SSL	init	1
SSL	pkix	1
SSL	cryptography	1
SSL	http-proxy	1
SSL	sslexception	1
SSL	ssl	23
SSL	netty	1
SSL	unauthorized	1
SSL	mutual-authentication	1
SSL	ntlm	2
SSL	handshaking	1
SSL	lotus-domino	1
SSL	x10	1
SSL	security	25
SSL	jmeter	2
SSL	spring	2
SSL	web-services	9
SSL	authorize.net	1
SSL	bpel	1
SSL	httpurlconnection	1
SSL	spring-ws	1
SSL	jboss	2
SSL	wso2	1
SSL	soapui	1
SSL	maven	1
SSL	proxy	2
SSL	ubuntu	1
SSL	apache	2
SSL	wsdl	1
SSL	xml-rpc	1
SSL	jax-ws	1
SSL	coldfusion	2
SSL	sts-securitytokenservice	1
SSL	gwt	3
SSL	connection	1
SSL	constructor	1
SSL	azure	1
SSL	netflix-eureka	1
SSL	webservice-client	1
SSL	image	1
SSL	api	2
SSL	cxf	3
SSL	java-6	1
SSL	java-8	1
SSL	nss	1
SSL	sockets	2
SSL	intellij-idea	1
SSL	jnlp	1
SSL	java	56
SSL	google-app-engine	1
SSL	wso2esb	1
SSL	weblogic	1
SSL	dns	1
SSL	https	8
SSL	ws-security	2
SSL	kerberos	1
SSL	coldfusion-10	1
SSL	soap-client	1
SSL	xfire	1
SSL	salesforce	1
SSL	network-programming	1
SSL	openjdk	1
SSL	eclipse	2
SSL	windows	1
SSL	applet	2
SSL	spring-integration	1
SSL	httpsurlconnection	1
SSL	stub	1
SSL	bouncycastle	1
SSL	createobject	1
SSL	agent	1
SSL	io	1
SSL	rally	2
SSL	axis	2
SSL	keystore	1
